State,County,FIPS,MapDate,DSCI
ND,Adams County,38001,20241231,341
ND,Adams County,38001,20250107,341
ND,Adams County,38001,20250114,341
ND,Adams County,38001,20250121,341
ND,Adams County,38001,20250128,276
ND,Adams County,38001,20250204,276
ND,Adams County,38001,20250211,276
ND,Adams County,38001,20250218,276
ND,Adams County,38001,20250225,276
ND,Barnes County,38003,20241231,103
ND,Barnes County,38003,20250107,103
ND,Barnes County,38003,20250114,103
ND,Barnes County,38003,20250121,103
ND,Barnes County,38003,20250128,103
ND,Barnes County,38003,20250204,103
ND,Barnes County,38003,20250211,103
ND,Barnes County,38003,20250218,103
ND,Barnes County,38003,20250225,103
ND,Benson County,38005,20241231,0
ND,Benson County,38005,20250107,0
ND,Benson County,38005,20250114,0
ND,Benson County,38005,20250121,0
ND,Benson County,38005,20250128,0
ND,Benson County,38005,20250204,0
ND,Benson County,38005,20250211,0
ND,Benson County,38005,20250218,0
ND,Benson County,38005,20250225,0
ND,Billings County,38007,20241231,400
ND,Billings County,38007,20250107,400
ND,Billings County,38007,20250114,400
ND,Billings County,38007,20250121,400
ND,Billings County,38007,20250128,309
ND,Billings County,38007,20250204,309
ND,Billings County,38007,20250211,309
ND,Billings County,38007,20250218,309
ND,Billings County,38007,20250225,309
ND,Bottineau County,38009,20241231,109
ND,Bottineau County,38009,20250107,109
ND,Bottineau County,38009,20250114,109
ND,Bottineau County,38009,20250121,109
ND,Bottineau County,38009,20250128,109
ND,Bottineau County,38009,20250204,109
ND,Bottineau County,38009,20250211,109
ND,Bottineau County,38009,20250218,109
ND,Bottineau County,38009,20250225,109
ND,Bowman County,38011,20241231,400
ND,Bowman County,38011,20250107,400
ND,Bowman County,38011,20250114,400
ND,Bowman County,38011,20250121,400
ND,Bowman County,38011,20250128,300
ND,Bowman County,38011,20250204,300
ND,Bowman County,38011,20250211,300
ND,Bowman County,38011,20250218,300
ND,Bowman County,38011,20250225,300
ND,Burke County,38013,20241231,300
ND,Burke County,38013,20250107,300
ND,Burke County,38013,20250114,300
ND,Burke County,38013,20250121,300
ND,Burke County,38013,20250128,300
ND,Burke County,38013,20250204,300
ND,Burke County,38013,20250211,300
ND,Burke County,38013,20250218,300
ND,Burke County,38013,20250225,300
ND,Burleigh County,38015,20241231,78
ND,Burleigh County,38015,20250107,78
ND,Burleigh County,38015,20250114,78
ND,Burleigh County,38015,20250121,78
ND,Burleigh County,38015,20250128,78
ND,Burleigh County,38015,20250204,78
ND,Burleigh County,38015,20250211,78
ND,Burleigh County,38015,20250218,78
ND,Burleigh County,38015,20250225,78
ND,Cass County,38017,20241231,180
ND,Cass County,38017,20250107,180
ND,Cass County,38017,20250114,180
ND,Cass County,38017,20250121,180
ND,Cass County,38017,20250128,180
ND,Cass County,38017,20250204,180
ND,Cass County,38017,20250211,180
ND,Cass County,38017,20250218,180
ND,Cass County,38017,20250225,180
ND,Cavalier County,38019,20241231,0
ND,Cavalier County,38019,20250107,0
ND,Cavalier County,38019,20250114,0
ND,Cavalier County,38019,20250121,0
ND,Cavalier County,38019,20250128,0
ND,Cavalier County,38019,20250204,0
ND,Cavalier County,38019,20250211,0
ND,Cavalier County,38019,20250218,0
ND,Cavalier County,38019,20250225,0
ND,Dickey County,38021,20241231,200
ND,Dickey County,38021,20250107,200
ND,Dickey County,38021,20250114,200
ND,Dickey County,38021,20250121,200
ND,Dickey County,38021,20250128,200
ND,Dickey County,38021,20250204,200
ND,Dickey County,38021,20250211,200
ND,Dickey County,38021,20250218,200
ND,Dickey County,38021,20250225,200
ND,Divide County,38023,20241231,299
ND,Divide County,38023,20250107,299
ND,Divide County,38023,20250114,299
ND,Divide County,38023,20250121,299
ND,Divide County,38023,20250128,295
ND,Divide County,38023,20250204,295
ND,Divide County,38023,20250211,295
ND,Divide County,38023,20250218,295
ND,Divide County,38023,20250225,255
ND,Dunn County,38025,20241231,323
ND,Dunn County,38025,20250107,323
ND,Dunn County,38025,20250114,323
ND,Dunn County,38025,20250121,323
ND,Dunn County,38025,20250128,311
ND,Dunn County,38025,20250204,311
ND,Dunn County,38025,20250211,311
ND,Dunn County,38025,20250218,311
ND,Dunn County,38025,20250225,311
ND,Eddy County,38027,20241231,0
ND,Eddy County,38027,20250107,0
ND,Eddy County,38027,20250114,0
ND,Eddy County,38027,20250121,0
ND,Eddy County,38027,20250128,0
ND,Eddy County,38027,20250204,0
ND,Eddy County,38027,20250211,0
ND,Eddy County,38027,20250218,0
ND,Eddy County,38027,20250225,0
ND,Emmons County,38029,20241231,169
ND,Emmons County,38029,20250107,169
ND,Emmons County,38029,20250114,169
ND,Emmons County,38029,20250121,169
ND,Emmons County,38029,20250128,169
ND,Emmons County,38029,20250204,169
ND,Emmons County,38029,20250211,169
ND,Emmons County,38029,20250218,169
ND,Emmons County,38029,20250225,169
ND,Foster County,38031,20241231,0
ND,Foster County,38031,20250107,0
ND,Foster County,38031,20250114,0
ND,Foster County,38031,20250121,0
ND,Foster County,38031,20250128,0
ND,Foster County,38031,20250204,0
ND,Foster County,38031,20250211,0
ND,Foster County,38031,20250218,0
ND,Foster County,38031,20250225,0
ND,Golden Valley County,38033,20241231,400
ND,Golden Valley County,38033,20250107,400
ND,Golden Valley County,38033,20250114,400
ND,Golden Valley County,38033,20250121,400
ND,Golden Valley County,38033,20250128,302
ND,Golden Valley County,38033,20250204,302
ND,Golden Valley County,38033,20250211,302
ND,Golden Valley County,38033,20250218,302
ND,Golden Valley County,38033,20250225,302
ND,Grand Forks County,38035,20241231,38
ND,Grand Forks County,38035,20250107,38
ND,Grand Forks County,38035,20250114,38
ND,Grand Forks County,38035,20250121,38
ND,Grand Forks County,38035,20250128,38
ND,Grand Forks County,38035,20250204,38
ND,Grand Forks County,38035,20250211,38
ND,Grand Forks County,38035,20250218,38
ND,Grand Forks County,38035,20250225,38
ND,Grant County,38037,20241231,239
ND,Grant County,38037,20250107,239
ND,Grant County,38037,20250114,239
ND,Grant County,38037,20250121,239
ND,Grant County,38037,20250128,239
ND,Grant County,38037,20250204,239
ND,Grant County,38037,20250211,239
ND,Grant County,38037,20250218,239
ND,Grant County,38037,20250225,239
ND,Griggs County,38039,20241231,21
ND,Griggs County,38039,20250107,21
ND,Griggs County,38039,20250114,21
ND,Griggs County,38039,20250121,21
ND,Griggs County,38039,20250128,21
ND,Griggs County,38039,20250204,21
ND,Griggs County,38039,20250211,21
ND,Griggs County,38039,20250218,21
ND,Griggs County,38039,20250225,21
ND,Hettinger County,38041,20241231,271
ND,Hettinger County,38041,20250107,271
