MapDate,FIPS,County,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20250225,38001,Adams County,ND,0.00,100.00,100.00,76.19,0.00,0.00,2025-02-25,2025-03-03,1
20250218,38001,Adams County,ND,0.00,100.00,100.00,76.19,0.00,0.00,2025-02-18,2025-02-24,1
20250211,38001,Adams County,ND,0.00,100.00,100.00,76.19,0.00,0.00,2025-02-11,2025-02-17,1
20250204,38001,Adams County,ND,0.00,100.00,100.00,76.19,0.00,0.00,2025-02-04,2025-02-10,1
20250128,38001,Adams County,ND,0.00,100.00,100.00,76.19,0.00,0.00,2025-01-28,2025-02-03,1
20250121,38001,Adams County,ND,0.00,100.00,100.00,85.25,56.22,0.00,2025-01-21,2025-01-27,1
20250114,38001,Adams County,ND,0.00,100.00,100.00,85.25,56.22,0.00,2025-01-14,2025-01-20,1
20250107,38001,Adams County,ND,0.00,100.00,100.00,85.25,56.22,0.00,2025-01-07,2025-01-13,1
20241231,38001,Adams County,ND,0.00,100.00,100.00,85.25,56.22,0.00,2024-12-31,2025-01-06,1
20250225,38003,Barnes County,ND,1.64,98.36,5.08,0.00,0.00,0.00,2025-02-25,2025-03-03,1
20250218,38003,Barnes County,ND,1.64,98.36,5.08,0.00,0.00,0.00,2025-02-18,2025-02-24,1
20250211,38003,Barnes County,ND,1.64,98.36,5.08,0.00,0.00,0.00,2025-02-11,2025-02-17,1
20250204,38003,Barnes County,ND,1.64,98.36,5.08,0.00,0.00,0.00,2025-02-04,2025-02-10,1
20250128,38003,Barnes County,ND,1.64,98.36,5.08,0.00,0.00,0.00,2025-01-28,2025-02-03,1
20250121,38003,Barnes County,ND,1.64,98.36,5.08,0.00,0.00,0.00,2025-01-21,2025-01-27,1
20250114,38003,Barnes County,ND,1.64,98.36,5.08,0.00,0.00,0.00,2025-01-14,2025-01-20,1
20250107,38003,Barnes County,ND,1.64,98.36,5.08,0.00,0.00,0.00,2025-01-07,2025-01-13,1
20241231,38003,Barnes County,ND,1.64,98.36,5.08,0.00,0.00,0.00,2024-12-31,2025-01-06,1
20250225,38005,Benson County,ND,100.00,0.00,0.00,0.00,0.00,0.00,2025-02-25,2025-03-03,1
20250218,38005,Benson County,ND,100.00,0.00,0.00,0.00,0.00,0.00,2025-02-18,2025-02-24,1
20250211,38005,Benson County,ND,100.00,0.00,0.00,0.00,0.00,0.00,2025-02-11,2025-02-17,1
20250204,38005,Benson County,ND,100.00,0.00,0.00,0.00,0.00,0.00,2025-02-04,2025-02-10,1
20250128,38005,Benson County,ND,100.00,0.00,0.00,0.00,0.00,0.00,2025-01-28,2025-02-03,1
20250121,38005,Benson County,ND,100.00,0.00,0.00,0.00,0.00,0.00,2025-01-21,2025-01-27,1
20250114,38005,Benson County,ND,100.00,0.00,0.00,0.00,0.00,0.00,2025-01-14,2025-01-20,1
20250107,38005,Benson County,ND,100.00,0.00,0.00,0.00,0.00,0.00,2025-01-07,2025-01-13,1
20241231,38005,Benson County,ND,100.00,0.00,0.00,0.00,0.00,0.00,2024-12-31,2025-01-06,1
20250225,38007,Billings County,ND,0.00,100.00,100.00,100.00,9.47,0.00,2025-02-25,2025-03-03,1
20250218,38007,Billings County,ND,0.00,100.00,100.00,100.00,9.47,0.00,2025-02-18,2025-02-24,1
20250211,38007,Billings County,ND,0.00,100.00,100.00,100.00,9.47,0.00,2025-02-11,2025-02-17,1
20250204,38007,Billings County,ND,0.00,100.00,100.00,100.00,9.47,0.00,2025-02-04,2025-02-10,1
20250128,38007,Billings County,ND,0.00,100.00,100.00,100.00,9.47,0.00,2025-01-28,2025-02-03,1
20250121,38007,Billings County,ND,0.00,100.00,100.00,100.00,100.00,0.00,2025-01-21,2025-01-27,1
20250114,38007,Billings County,ND,0.00,100.00,100.00,100.00,100.00,0.00,2025-01-14,2025-01-20,1
20250107,38007,Billings County,ND,0.00,100.00,100.00,100.00,100.00,0.00,2025-01-07,2025-01-13,1
20241231,38007,Billings County,ND,0.00,100.00,100.00,100.00,100.00,0.00,2024-12-31,2025-01-06,1
20250225,38009,Bottineau County,ND,19.93,80.07,27.67,0.88,0.00,0.00,2025-02-25,2025-03-03,1
20250218,38009,Bottineau County,ND,19.93,80.07,27.67,0.88,0.00,0.00,2025-02-18,2025-02-24,1
20250211,38009,Bottineau County,ND,19.93,80.07,27.67,0.88,0.00,0.00,2025-02-11,2025-02-17,1
20250204,38009,Bottineau County,ND,19.93,80.07,27.67,0.88,0.00,0.00,2025-02-04,2025-02-10,1
20250128,38009,Bottineau County,ND,19.93,80.07,27.67,0.88,0.00,0.00,2025-01-28,2025-02-03,1
20250121,38009,Bottineau County,ND,19.93,80.07,27.67,0.88,0.00,0.00,2025-01-21,2025-01-27,1
20250114,38009,Bottineau County,ND,19.93,80.07,27.67,0.88,0.00,0.00,2025-01-14,2025-01-20,1
20250107,38009,Bottineau County,ND,19.93,80.07,27.67,0.88,0.00,0.00,2025-01-07,2025-01-13,1
20241231,38009,Bottineau County,ND,19.93,80.07,27.67,0.88,0.00,0.00,2024-12-31,2025-01-06,1
20250225,38011,Bowman County,ND,0.00,100.00,100.00,100.00,0.00,0.00,2025-02-25,2025-03-03,1
20250218,38011,Bowman County,ND,0.00,100.00,100.00,100.00,0.00,0.00,2025-02-18,2025-02-24,1
20250211,38011,Bowman County,ND,0.00,100.00,100.00,100.00,0.00,0.00,2025-02-11,2025-02-17,1
20250204,38011,Bowman County,ND,0.00,100.00,100.00,100.00,0.00,0.00,2025-02-04,2025-02-10,1
20250128,38011,Bowman County,ND,0.00,100.00,100.00,100.00,0.00,0.00,2025-01-28,2025-02-03,1
20250121,38011,Bowman County,ND,0.00,100.00,100.00,100.00,100.00,0.00,2025-01-21,2025-01-27,1
20250114,38011,Bowman County,ND,0.00,100.00,100.00,100.00,100.00,0.00,2025-01-14,2025-01-20,1
20250107,38011,Bowman County,ND,0.00,100.00,100.00,100.00,100.00,0.00,2025-01-07,2025-01-13,1
20241231,38011,Bowman County,ND,0.00,100.00,100.00,100.00,100.00,0.00,2024-12-31,2025-01-06,1
20250225,38013,Burke County,ND,0.00,100.00,100.00,100.00,0.00,0.00,2025-02-25,2025-03-03,1
20250218,38013,Burke County,ND,0.00,100.00,100.00,100.00,0.00,0.00,2025-02-18,2025-02-24,1
20250211,38013,Burke County,ND,0.00,100.00,100.00,100.00,0.00,0.00,2025-02-11,2025-02-17,1
20250204,38013,Burke County,ND,0.00,100.00,100.00,100.00,0.00,0.00,2025-02-04,2025-02-10,1
20250128,38013,Burke County,ND,0.00,100.00,100.00,100.00,0.00,0.00,2025-01-28,2025-02-03,1
20250121,38013,Burke County,ND,0.00,100.00,100.00,100.00,0.00,0.00,2025-01-21,2025-01-27,1
20250114,38013,Burke County,ND,0.00,100.00,100.00,100.00,0.00,0.00,2025-01-14,2025-01-20,1
20250107,38013,Burke County,ND,0.00,100.00,100.00,100.00,0.00,0.00,2025-01-07,2025-01-13,1
20241231,38013,Burke County,ND,0.00,100.00,100.00,100.00,0.00,0.00,2024-12-31,2025-01-06,1
20250225,38015,Burleigh County,ND,31.30,68.70,8.80,0.00,0.00,0.00,2025-02-25,2025-03-03,1
20250218,38015,Burleigh County,ND,31.30,68.70,8.80,0.00,0.00,0.00,2025-02-18,2025-02-24,1
20250211,38015,Burleigh County,ND,31.30,68.70,8.80,0.00,0.00,0.00,2025-02-11,2025-02-17,1
20250204,38015,Burleigh County,ND,31.30,68.70,8.80,0.00,0.00,0.00,2025-02-04,2025-02-10,1
20250128,38015,Burleigh County,ND,31.30,68.70,8.80,0.00,0.00,0.00,2025-01-28,2025-02-03,1
20250121,38015,Burleigh County,ND,31.30,68.70,8.80,0.00,0.00,0.00,2025-01-21,2025-01-27,1
20250114,38015,Burleigh County,ND,31.30,68.70,8.80,0.00,0.00,0.00,2025-01-14,2025-01-20,1
20250107,38015,Burleigh County,ND,31.30,68.70,8.80,0.00,0.00,0.00,2025-01-07,2025-01-13,1
20241231,38015,Burleigh County,ND,31.30,68.70,8.80,0.00,0.00,0.00,2024-12-31,2025-01-06,1
20250225,38017,Cass County,ND,0.00,100.00,80.28,0.00,0.00,0.00,2025-02-25,2025-03-03,1
20250218,38017,Cass County,ND,0.00,100.00,80.28,0.00,0.00,0.00,2025-02-18,2025-02-24,1
20250211,38017,Cass County,ND,0.00,100.00,80.28,0.00,0.00,0.00,2025-02-11,2025-02-17,1
20250204,38017,Cass County,ND,0.00,100.00,80.28,0.00,0.00,0.00,2025-02-04,2025-02-10,1
20250128,38017,Cass County,ND,0.00,100.00,80.28,0.00,0.00,0.00,2025-01-28,2025-02-03,1
20250121,38017,Cass County,ND,0.00,100.00,80.28,0.00,0.00,0.00,2025-01-21,2025-01-27,1
20250114,38017,Cass County,ND,0.00,100.00,80.28,0.00,0.00,0.00,2025-01-14,2025-01-20,1
20250107,38017,Cass County,ND,0.00,100.00,80.28,0.00,0.00,0.00,2025-01-07,2025-01-13,1
20241231,38017,Cass County,ND,0.00,100.00,80.28,0.00,0.00,0.00,2024-12-31,2025-01-06,1
20250225,38019,Cavalier County,ND,100.00,0.00,0.00,0.00,0.00,0.00,2025-02-25,2025-03-03,1
20250218,38019,Cavalier County,ND,100.00,0.00,0.00,0.00,0.00,0.00,2025-02-18,2025-02-24,1
20250211,38019,Cavalier County,ND,100.00,0.00,0.00,0.00,0.00,0.00,2025-02-11,2025-02-17,1
20250204,38019,Cavalier County,ND,100.00,0.00,0.00,0.00,0.00,0.00,2025-02-04,2025-02-10,1
20250128,38019,Cavalier County,ND,100.00,0.00,0.00,0.00,0.00,0.00,2025-01-28,2025-02-03,1
20250121,38019,Cavalier County,ND,100.00,0.00,0.00,0.00,0.00,0.00,2025-01-21,2025-01-27,1
20250114,38019,Cavalier County,ND,100.00,0.00,0.00,0.00,0.00,0.00,2025-01-14,2025-01-20,1
20250107,38019,Cavalier County,ND,100.00,0.00,0.00,0.00,0.00,0.00,2025-01-07,2025-01-13,1
20241231,38019,Cavalier County,ND,100.00,0.00,0.00,0.00,0.00,0.00,2024-12-31,2025-01-06,1
20250225,38021,Dickey County,ND,0.00,100.00,100.00,0.00,0.00,0.00,2025-02-25,2025-03-03,1
20250218,38021,Dickey County,ND,0.00,100.00,100.00,0.00,0.00,0.00,2025-02-18,2025-02-24,1
20250211,38021,Dickey County,ND,0.00,100.00,100.00,0.00,0.00,0.00,2025-02-11,2025-02-17,1
20250204,38021,Dickey County,ND,0.00,100.00,100.00,0.00,0.00,0.00,2025-02-04,2025-02-10,1
20250128,38021,Dickey County,ND,0.00,100.00,100.00,0.00,0.00,0.00,2025-01-28,2025-02-03,1
20250121,38021,Dickey County,ND,0.00,100.00,100.00,0.00,0.00,0.00,2025-01-21,2025-01-27,1
20250114,38021,Dickey County,ND,0.00,100.00,100.00,0.00,0.00,0.00,2025-01-14,2025-01-20,1
20250107,38021,Dickey County,ND,0.00,100.00,100.00,0.00,0.00,0.00,2025-01-07,2025-01-13,1
20241231,38021,Dickey County,ND,0.00,100.00,100.00,0.00,0.00,0.00,2024-12-31,2025-01-06,1
20250225,38023,Divide County,ND,0.00,100.00,100.00,55.49,0.00,0.00,2025-02-25,2025-03-03,1
20250218,38023,Divide County,ND,0.00,100.00,100.00,94.83,0.00,0.00,2025-02-18,2025-02-24,1
20250211,38023,Divide County,ND,0.00,100.00,100.00,94.83,0.00,0.00,2025-02-11,2025-02-17,1
20250204,38023,Divide County,ND,0.00,100.00,100.00,94.83,0.00,0.00,2025-02-04,2025-02-10,1
20250128,38023,Divide County,ND,0.00,100.00,100.00,94.83,0.00,0.00,2025-01-28,2025-02-03,1
20250121,38023,Divide County,ND,0.00,100.00,100.00,99.32,0.00,0.00,2025-01-21,2025-01-27,1
20250114,38023,Divide County,ND,0.00,100.00,100.00,99.32,0.00,0.00,2025-01-14,2025-01-20,1
20250107,38023,Divide County,ND,0.00,100.00,100.00,99.32,0.00,0.00,2025-01-07,2025-01-13,1
20241231,38023,Divide County,ND,0.00,100.00,100.00,99.32,0.00,0.00,2024-12-31,2025-01-06,1
20250225,38025,Dunn County,ND,0.00,100.00,100.00,80.57,30.57,0.00,2025-02-25,2025-03-03,1
20250218,38025,Dunn County,ND,0.00,100.00,100.00,80.57,30.57,0.00,2025-02-18,2025-02-24,1
20250211,38025,Dunn County,ND,0.00,100.00,100.00,80.57,30.57,0.00,2025-02-11,2025-02-17,1
20250204,38025,Dunn County,ND,0.00,100.00,100.00,80.57,30.57,0.00,2025-02-04,2025-02-10,1
20250128,38025,Dunn County,ND,0.00,100.00,100.00,80.57,30.57,0.00,2025-01-28,2025-02-03,1
20250121,38025,Dunn County,ND,0.00,100.00,100.00,80.57,42.61,0.00,2025-01-21,2025-01-27,1
20250114,38025,Dunn County,ND,0.00,100.00,100.00,80.57,42.61,0.00,2025-01-14,2025-01-20,1
20250107,38025,Dunn County,ND,0.00,100.00,100.00,80.57,42.61,0.00,2025-01-07,2025-01-13,1
20241231,38025,Dunn County,ND,0.00,100.00,100.00,80.57,42.61,0.00,2024-12-31,2025-01-06,1
20250225,38027,Eddy County,ND,100.00,0.00,0.00,0.00,0.00,0.00,2025-02-25,2025-03-03,1
20250218,38027,Eddy County,ND,100.00,0.00,0.00,0.00,0.00,0.00,2025-02-18,2025-02-24,1
20250211,38027,Eddy County,ND,100.00,0.00,0.00,0.00,0.00,0.00,2025-02-11,2025-02-17,1
20250204,38027,Eddy County,ND,100.00,0.00,0.00,0.00,0.00,0.00,2025-02-04,2025-02-10,1
20250128,38027,Eddy County,ND,100.00,0.00,0.00,0.00,0.00,0.00,2025-01-28,2025-02-03,1
20250121,38027,Eddy County,ND,100.00,0.00,0.00,0.00,0.00,0.00,2025-01-21,2025-01-27,1
20250114,38027,Eddy County,ND,100.00,0.00,0.00,0.00,0.00,0.00,2025-01-14,2025-01-20,1
20250107,38027,Eddy County,ND,100.00,0.00,0.00,0.00,0.00,0.00,2025-01-07,2025-01-13,1
20241231,38027,Eddy County,ND,100.00,0.00,0.00,0.00,0.00,0.00,2024-12-31,2025-01-06,1
20250225,38029,Emmons County,ND,0.57,99.43,69.25,0.00,0.00,0.00,2025-02-25,2025-03-03,1
20250218,38029,Emmons County,ND,0.57,99.43,69.25,0.00,0.00,0.00,2025-02-18,2025-02-24,1
20250211,38029,Emmons County,ND,0.57,99.43,69.25,0.00,0.00,0.00,2025-02-11,2025-02-17,1
20250204,38029,Emmons County,ND,0.57,99.43,69.25,0.00,0.00,0.00,2025-02-04,2025-02-10,1
20250128,38029,Emmons County,ND,0.57,99.43,69.25,0.00,0.00,0.00,2025-01-28,2025-02-03,1
20250121,38029,Emmons County,ND,0.57,99.43,69.25,0.00,0.00,0.00,2025-01-21,2025-01-27,1
20250114,38029,Emmons County,ND,0.57,99.43,69.25,0.00,0.00,0.00,2025-01-14,2025-01-20,1
20250107,38029,Emmons County,ND,0.57,99.43,69.25,0.00,0.00,0.00,2025-01-07,2025-01-13,1
20241231,38029,Emmons County,ND,0.57,99.43,69.25,0.00,0.00,0.00,2024-12-31,2025-01-06,1
20250225,38031,Foster County,ND,100.00,0.00,0.00,0.00,0.00,0.00,2025-02-25,2025-03-03,1
20250218,38031,Foster County,ND,100.00,0.00,0.00,0.00,0.00,0.00,2025-02-18,2025-02-24,1
20250211,38031,Foster County,ND,100.00,0.00,0.00,0.00,0.00,0.00,2025-02-11,2025-02-17,1
20250204,38031,Foster County,ND,100.00,0.00,0.00,0.00,0.00,0.00,2025-02-04,2025-02-10,1
20250128,38031,Foster County,ND,100.00,0.00,0.00,0.00,0.00,0.00,2025-01-28,2025-02-03,1
20250121,38031,Foster County,ND,100.00,0.00,0.00,0.00,0.00,0.00,2025-01-21,2025-01-27,1
20250114,38031,Foster County,ND,100.00,0.00,0.00,0.00,0.00,0.00,2025-01-14,2025-01-20,1
20250107,38031,Foster County,ND,100.00,0.00,0.00,0.00,0.00,0.00,2025-01-07,2025-01-13,1
20241231,38031,Foster County,ND,100.00,0.00,0.00,0.00,0.00,0.00,2024-12-31,2025-01-06,1
20250225,38033,Golden Valley County,ND,0.00,100.00,100.00,100.00,2.27,0.00,2025-02-25,2025-03-03,1
20250218,38033,Golden Valley County,ND,0.00,100.00,100.00,100.00,2.27,0.00,2025-02-18,2025-02-24,1
20250211,38033,Golden Valley County,ND,0.00,100.00,100.00,100.00,2.27,0.00,2025-02-11,2025-02-17,1
20250204,38033,Golden Valley County,ND,0.00,100.00,100.00,100.00,2.27,0.00,2025-02-04,2025-02-10,1
20250128,38033,Golden Valley County,ND,0.00,100.00,100.00,100.00,2.27,0.00,2025-01-28,2025-02-03,1
