station_id,station_name,location,state,asd_no,asd_name,timezone,latitude,longitude,elevation_ft,elevation_m,date_est
78,Ada 1N,"Ada, MN",Minnesota,10,MN-NW,America/Chicago,47.32119,-96.51406,910,277,2007-04-26
111,Adams 5N,"Adams, ND",North Dakota,30,ND-NE,America/Chicago,48.49988,-98.07588,1580,481,2018-06-21
98,Alamo 2S,"Alamo, ND",North Dakota,10,ND-NW,America/Chicago,48.54652,-103.47186,2157,657,2017-04-11
162,Alexander 7SW,"Alexander, ND",North Dakota,40,ND-WC,America/Chicago,47.75056,-103.73358,2202,671,2023-01-01
174,Alvarado 4N,"Alvarado, MN",Minnesota,10,MN-NW,America/Chicago,48.24594,-97.02153,809,246,2021-05-03
142,Amidon 1NE,"Amidon, ND",North Dakota,70,ND-SW,America/Denver,46.48844,-103.31629,2882,878,2019-08-07
164,Antelope Creek 8SE,"Antelope Creek, ND",North Dakota,40,ND-WC,America/Chicago,47.67473,-103.43309000000001,2214,674,2023-01-01
138,Arnegard 9N,"Arnegard, ND",North Dakota,40,ND-WC,America/Chicago,47.93947,-103.45565,2254,687,2019-06-27
161,Ayr 1NW,"Ayr, ND",North Dakota,60,ND-EC,America/Chicago,47.04639,-97.49481,1215,370,2021-03-29
9,Baker 1N,"Baker, ND",North Dakota,20,ND-NC,America/Chicago,48.16713,-99.64839,1703,519,1993-07-28
160,Banks 8SW,"Banks, ND",North Dakota,40,ND-WC,America/Chicago,47.91997,-103.24063,2025,617,2023-01-01
224,Bantry 3SW,"Bantry, ND",North Dakota,20,ND-NC,America/Chicago,48.400554,-100.703611,1503,458,2024-09-10
159,Battleview 8NE,"Battleview, ND",North Dakota,10,ND-NW,America/Chicago,48.67471,-102.69032,2454,747,2023-01-01
10,Beach 9S,"Beach, ND",North Dakota,70,ND-SW,America/Denver,46.78941,-103.96629,2901,884,1993-07-23
229,Beardsley 5NE,"Beardsley, MN",Minnesota,40,MN-WC,America/Chicago,45.6047,-96.6363,1136,346,2024-10-30
118,Becker 3S,"Becker, MN",Minnesota,50,MN-C,America/Chicago,45.34399,-93.85014,942,287,2018-06-05
56,Berthold 5NW,"Berthold, ND",North Dakota,10,ND-NW,America/Chicago,48.37954,-101.82199,2132,649,2001-06-14
165,Big Bend 5NE,"Big Bend, ND",North Dakota,10,ND-NW,America/Chicago,47.93424,-102.50799,1961,597,2023-01-01
12,Bottineau 14W,"Bottineau, ND",North Dakota,20,ND-NC,America/Chicago,48.82076,-100.75944,1479,450,1993-01-01
58,Bowbells 1N,"Bowbells, ND",North Dakota,10,ND-NW,America/Chicago,48.81662,-102.23937,1959,597,2001-07-19
13,Bowman 4W,"Bowman, ND",North Dakota,70,ND-SW,America/Denver,46.19958,-103.47303,3004,915,1993-01-01
84,Brampton 2WSW,"Brampton, ND",North Dakota,90,ND-SE,America/Chicago,45.98412,-97.82077,1319,402,2014-10-13
218,Bremen 3E,"Bremen, ND",North Dakota,50,ND-C,America/Chicago,47.74583,-99.31833,1570,478,2024-07-31
179,Brocket 1E,"Brocket, ND",North Dakota,30,ND-NE,America/Chicago,48.21319,-98.34239,1526,465,2023-01-01
7,Brorson 5NW,"Brorson, MT",Montana,30,MT-NE,America/Denver,47.78227,-104.24812,2257,687,1995-01-01
186,Buford 3SE,"Buford, ND",North Dakota,10,ND-NW,America/Chicago,47.97074,-103.92594,1868,569,2023-01-01
87,Campbell 3SE,"Campbell, MN",Minnesota,40,MN-WC,America/Chicago,46.06494,-96.37014,987,300,2015-05-15
14,Cando 1W,"Cando, ND",North Dakota,30,ND-NE,America/Chicago,48.48294,-99.23359,1482,451,1994-05-12
15,Carrington 4N,"Carrington, ND",North Dakota,50,ND-C,America/Chicago,47.50865,-99.13215,1561,475,1990-04-24
96,Carson 9ENE,"Carson, ND",North Dakota,80,ND-SC,America/Denver,46.44304,-101.37384,2107,642,2016-10-03
191,Casselton 1SW,"Casselton, ND",North Dakota,60,ND-EC,America/Chicago,46.87995,-97.22302,938,285,2023-05-30
16,Cavalier 4NNW,"Cavalier, ND",North Dakota,30,ND-NE,America/Chicago,48.84428,-97.64428,876,267,1993-07-03
210,Cedar Lake 3W,"Cedar Lake, ND",North Dakota,70,ND-SW,America/Denver,46.28376,-103.02859,2766,843,2024-06-01
201,Center 5S,"Center, ND",North Dakota,40,ND-WC,America/North_Dakota/Center,47.05193,-101.27943,2030,618,2023-08-23
137,Charbonneau 5NW,"Charbonneau, ND",North Dakota,40,ND-WC,America/Chicago,47.92098,-103.79042,2281,695,2019-06-26
124,Clarissa 1SE,"Clarissa, MN",Minnesota,50,MN-C,America/Chicago,46.11155,-94.90583,1304,397,2018-06-12
143,Clyde 4SW,"Clyde, ND",North Dakota,30,ND-NE,America/Chicago,48.73715,-98.97841,1610,490,2021-03-26
85,Cooperstown 3W,"Cooperstown, ND",North Dakota,60,ND-EC,America/Chicago,47.44278,-98.17723,1454,443,2014-10-09
140,Courtenay 5W,"Courtenay, ND",North Dakota,50,ND-C,America/Chicago,47.22119,-98.67987,1550,472,2019-07-18
134,Crane Creek 1E,"Crane Creek, ND",North Dakota,10,ND-NW,America/Chicago,48.06479,-102.35424,2203,671,2019-06-27
18,Crary 1E,"Crary, ND",North Dakota,30,ND-NE,America/Chicago,48.04971,-98.60614,1508,459,1999-09-24
136,Croff 3E,"Croff, ND",North Dakota,40,ND-WC,America/Chicago,47.74951,-102.87725,2240,682,2019-06-26
219,Crookston 3N,"Crookston, MN",Minnesota,10,MN-NW,America/Chicago,47.823333,-96.620556,910,277,2024-08-03
65,Crosby 7S,"Crosby, ND",North Dakota,10,ND-NW,America/Chicago,48.80716,-103.31174,2075,632,2002-05-03
104,Crystal 4NW,"Crystal, ND",North Dakota,30,ND-NE,America/Chicago,48.61617,-97.7645,944,287,2018-05-02
99,Dagmar 7WSW,"Dagmar, MT",Montana,30,MT-NE,America/Denver,48.55591,-104.34651,2112,643,2017-04-12
192,Davis Dam 2NW,"Davis Dam, ND",North Dakota,70,ND-SW,America/Denver,46.56414,-103.69703,2906,885,2023-06-14
19,Dazey 2E,"Dazey, ND",North Dakota,60,ND-EC,America/Chicago,47.18321,-98.13767,1441,439,1993-01-01
129,Denhoff 1NE,"Denhoff, ND",North Dakota,50,ND-C,America/Chicago,47.48741,-100.24677,2070,630,2019-06-13
20,Dickinson 1NW,"Dickinson, ND",North Dakota,70,ND-SW,America/Denver,46.89483,-102.81284,2518,767,1990-07-18
101,Dooley 3S,"Dooley, MT",Montana,30,MT-NE,America/Denver,48.83369,-104.38458,2569,783,2017-04-13
166,Dry Fork 1SE,"Dry Fork, ND",North Dakota,10,ND-NW,America/Chicago,48.24077,-102.89402,2140,652,2023-01-01
178,Dublin 2SW,"Dublin, ND",North Dakota,10,ND-NW,America/Chicago,48.40139,-103.50166,2110,643,2023-01-01
81,Dunn 1SW,"Dunn, ND",North Dakota,40,ND-WC,America/Denver,47.34161,-102.63076,2214,674,2009-05-29
21,Edgeley 4SW,"Edgeley, ND",North Dakota,90,ND-SE,America/Chicago,46.31913,-98.76608,1649,502,1993-09-02
97,Edmore 3NW,"Edmore, ND",North Dakota,30,ND-NE,America/Chicago,48.42057,-98.51278,1520,463,2017-04-06
75,Ekre,"Ekre, ND",North Dakota,90,ND-SE,America/Chicago,46.54005,-97.14094,1053,320,2005-10-27
184,Elbow Lake 2S,"Elbow Lake, MN",Minnesota,40,MN-WC,America/Chicago,45.96308,-95.98682,1207,367,2023-01-01
2,Eldred 2W,"Eldred, MN",Minnesota,10,MN-NW,America/Chicago,47.68769,-96.82221,861,262,1995-04-30
211,Elgin 10NW,"Elgin, ND",North Dakota,80,ND-SC,America/Denver,46.5013,-101.9858,2387,727,2024-06-01
232,Ellendale 4NE,"Ellendale, ND",North Dakota,90,ND-SE,America/Chicago,46.05289,-98.4953,1459,444,2025-05-21
172,Emerado 2E,"Emerado, ND",North Dakota,30,ND-NE,America/Chicago,47.91201,-97.32515,877,267,2021-04-22
139,Epping 2SE,"Epping, ND",North Dakota,10,ND-NW,America/Chicago,48.25607,-103.31802,2218,676,2019-06-27
158,Fairfield 2W,"Fairfield, ND",North Dakota,70,ND-SW,America/Denver,47.12531,-103.24321,2685,818,2023-01-01
23,Fargo NW,"Fargo, ND",North Dakota,60,ND-EC,America/Chicago,46.90027,-96.83234,902,274,1990-04-24
157,Fayette 3W,"Fayette, ND",North Dakota,40,ND-WC,America/Denver,47.24141,-102.96038,2437,742,2023-01-01
220,Fertile 4N,"Fertile, MN",Minnesota,10,MN-NW,America/Chicago,47.590146,-96.308661,1127,343,2024-08-03
62,Fingal 4W,"Fingal, ND",North Dakota,60,ND-EC,America/Chicago,46.74639,-97.91081,1460,445,2001-10-18
86,Finley 1NNW,"Finley, ND",North Dakota,60,ND-EC,America/Chicago,47.52643,-97.84726,1477,450,2014-10-09
24,Forest River 7WNW,"Forest River, ND",North Dakota,30,ND-NE,America/Chicago,48.29607,-97.60317,914,278,1991-06-28
89,Fort Yates 2W,"Fort Yates, ND",North Dakota,80,ND-SC,America/Chicago,46.08488,-100.67651,1662,506,2015-07-23
126,Fortuna 4N,"Fortuna, ND",North Dakota,10,ND-NW,America/Chicago,48.96375,-103.80585,2246,684,2019-05-04
167,Four Bears 5NW,"Four Bears, ND",North Dakota,40,ND-WC,America/Chicago,48.01541,-102.68151,2000,609,2023-01-01
93,Fox 4NE,"Fox, MN",Minnesota,10,MN-NW,America/Chicago,48.87775,-95.85017,1040,316,2016-05-09
183,Foxhome 4E,"Foxhome, MN",Minnesota,40,MN-WC,America/Chicago,46.26819,-96.21563,1096,334,2023-01-01
90,Froid 5S,"Froid, MT",Montana,30,MT-NE,America/Denver,48.25794,-104.49668,2154,656,2015-09-17
25,Galesburg 4SSW,"Galesburg, ND",North Dakota,60,ND-EC,America/Chicago,47.20973,-97.43057,1087,331,1995-05-22
205,Gardner 2SSW,"Gardner, ND",North Dakota,60,ND-EC,America/Chicago,47.122778,-96.974167,890,271,2024-04-23
83,Garrison 13NW,"Garrison, ND",North Dakota,40,ND-WC,America/Chicago,47.71023,-101.67955,2200,670,2013-08-07
107,Genoa 3S,"Genoa, ND",North Dakota,20,ND-NC,America/Chicago,48.15324,-100.99431,1609,490,2018-05-10
156,Glyndon 1SE,"Glyndon, MN",Minnesota,10,MN-NW,America/Chicago,46.86628,-96.56763,926,282,2021-03-29
77,Grafton 10E,"Grafton, ND",North Dakota,30,ND-NE,America/Chicago,48.41233,-97.18599,801,244,2006-05-21
26,Grand Forks 3S,"Grand Forks, ND",North Dakota,30,ND-NE,America/Chicago,47.83634,-97.06685,846,257,1990-04-24
155,Grassy Butte 2E,"Grassy Butte, ND",North Dakota,40,ND-WC,America/Denver,47.38661,-103.20628,2688,819,2023-01-01
70,Greenbush 7W,"Greenbush, MN",Minnesota,10,MN-NW,America/Chicago,48.70367,-96.32539,1025,312,2002-10-11
127,Grenora 8N,"Grenora, ND",North Dakota,10,ND-NW,America/Chicago,48.73502,-103.88123,2108,642,2019-05-06
144,Hanks 4S,"Hanks, ND",North Dakota,10,ND-NW,America/Chicago,48.53974,-103.79757,2242,683,2023-01-01
27,Harvey 3S,"Harvey, ND",North Dakota,50,ND-C,America/Chicago,47.73047,-99.91938,1615,492,1994-06-29
132,Hawkeye 3NW,"Hawkeye, ND",North Dakota,40,ND-WC,America/Chicago,48.02412,-102.94069,2323,708,2019-06-25
28,Hazen 2W,"Hazen, ND",North Dakota,40,ND-WC,America/North_Dakota/Beulah,47.30177,-101.67933,1811,551,1993-07-15
195,Hebron 7S,"Hebron, ND",North Dakota,80,ND-SC,America/North_Dakota/New_Salem,46.80452,-102.07605,2451,747,2023-07-13
185,Herman 5W,"Herman, MN",Minnesota,40,MN-WC,America/Chicago,45.80308,-96.25119,1045,318,2023-01-01
29,Hettinger NW,"Hettinger, ND",North Dakota,70,ND-SW,America/Denver,46.01255,-102.64564,2709,825,1990-04-24
30,Hillsboro 7SE,"Hillsboro, ND",North Dakota,60,ND-EC,America/Chicago,47.35332,-96.92188,877,267,1993-09-15
154,Hirschville 2NE,"Hirschville, ND",North Dakota,40,ND-WC,America/Denver,47.09731,-102.54035,2153,656,2023-01-01
31,Hofflund,"Hofflund, ND",North Dakota,10,ND-NW,America/Chicago,48.1644,-103.108,1904,580,1999-04-28
187,Holloway 3W,"Holloway, MN",Minnesota,40,MN-WC,America/Chicago,45.25334,-95.97341,1024,312,2023-02-28
102,Hope 5NE,"Hope, ND",North Dakota,60,ND-EC,America/Chicago,47.36845,-97.63963,1131,344,2017-05-01
119,Hubbard 1SE,"Hubbard, MN",Minnesota,20,MN-NC,America/Chicago,46.82059,-94.99579,1410,429,2018-06-05
4,Humboldt 4SW,"Humboldt, MN",Minnesota,10,MN-NW,America/Chicago,48.88351,-97.15029,798,243,1995-05-18
217,Hurdsfield NW,"Hurdsfield, ND",North Dakota,50,ND-C,America/Chicago,47.45111,-99.93694,1900,579,2024-07-30
80,Inkster 3W,"Inkster, ND",North Dakota,30,ND-NE,America/Chicago,48.16632,-97.71045,1113,339,2009-06-16
