forecast_type,forecast_effective,forecast_expires,location_id,date,start_time,end_time,delta_t,wind_speed,wind_speed_unit,wind_direction
hourly,2025-04-01T15:11:15Z,2025-04-01T16:09:49Z,78,2025-04-02,2025-04-02T11:00:00Z,2025-04-02T12:00:00Z,1.3900000000000006,24,mph,E
hourly,2025-04-01T15:11:15Z,2025-04-01T16:09:49Z,78,2025-04-03,2025-04-03T21:00:00Z,2025-04-03T22:00:00Z,3.1400000000000006,9,mph,W
hourly,2025-04-01T15:11:15Z,2025-04-01T16:09:49Z,78,2025-04-04,2025-04-04T21:00:00Z,2025-04-04T22:00:00Z,5.020000000000003,13,mph,WNW
hourly,2025-04-01T15:11:15Z,2025-04-01T16:09:49Z,78,2025-04-05,2025-04-05T21:00:00Z,2025-04-05T22:00:00Z,7.350000000000001,21,mph,NW
hourly,2025-04-01T15:11:15Z,2025-04-01T16:09:49Z,78,2025-04-06,2025-04-06T21:00:00Z,2025-04-06T22:00:00Z,6.600000000000001,23,mph,NNW
hourly,2025-04-01T15:11:15Z,2025-04-01T16:10:26Z,111,2025-04-02,2025-04-02T21:00:00Z,2025-04-02T22:00:00Z,1.0500000000000007,21,mph,N
hourly,2025-04-01T15:11:15Z,2025-04-01T16:10:26Z,111,2025-04-03,2025-04-03T21:00:00Z,2025-04-03T22:00:00Z,3.8900000000000006,12,mph,NW
hourly,2025-04-01T15:11:15Z,2025-04-01T16:10:26Z,111,2025-04-04,2025-04-04T21:00:00Z,2025-04-04T22:00:00Z,3.960000000000001,14,mph,NNW
hourly,2025-04-01T15:11:15Z,2025-04-01T16:10:26Z,111,2025-04-05,2025-04-05T21:00:00Z,2025-04-05T22:00:00Z,5.940000000000001,20,mph,NW
hourly,2025-04-01T15:11:15Z,2025-04-01T16:10:26Z,111,2025-04-06,2025-04-06T21:00:00Z,2025-04-06T22:00:00Z,5.91,17,mph,NNW
hourly,2025-04-01T15:11:16Z,2025-04-01T16:10:28Z,98,2025-04-02,2025-04-02T21:00:00Z,2025-04-02T22:00:00Z,4.469999999999999,20,mph,N
hourly,2025-04-01T15:11:16Z,2025-04-01T16:10:28Z,98,2025-04-03,2025-04-03T22:00:00Z,2025-04-03T23:00:00Z,6.16,10,mph,N
hourly,2025-04-01T15:11:16Z,2025-04-01T16:10:28Z,98,2025-04-04,2025-04-04T21:00:00Z,2025-04-04T22:00:00Z,5.949999999999999,18,mph,NW
hourly,2025-04-01T15:11:16Z,2025-04-01T16:10:28Z,98,2025-04-05,2025-04-05T21:00:00Z,2025-04-05T22:00:00Z,7.439999999999998,17,mph,W
hourly,2025-04-01T15:11:16Z,2025-04-01T16:10:28Z,98,2025-04-06,2025-04-06T22:00:00Z,2025-04-06T23:00:00Z,8.350000000000001,12,mph,N
hourly,2025-04-01T15:11:16Z,2025-04-01T16:10:30Z,162,2025-04-02,2025-04-02T21:00:00Z,2025-04-02T22:00:00Z,4.840000000000003,16,mph,N
hourly,2025-04-01T15:11:16Z,2025-04-01T16:10:30Z,162,2025-04-03,2025-04-03T22:00:00Z,2025-04-03T23:00:00Z,6.479999999999997,9,mph,NE
hourly,2025-04-01T15:11:16Z,2025-04-01T16:10:30Z,162,2025-04-04,2025-04-04T22:00:00Z,2025-04-04T23:00:00Z,6.699999999999999,15,mph,NW
hourly,2025-04-01T15:11:16Z,2025-04-01T16:10:30Z,162,2025-04-05,2025-04-05T22:00:00Z,2025-04-05T23:00:00Z,9.07,15,mph,NW
hourly,2025-04-01T15:11:16Z,2025-04-01T16:10:30Z,162,2025-04-06,2025-04-06T22:00:00Z,2025-04-06T23:00:00Z,10.060000000000002,10,mph,N
hourly,2025-04-01T15:11:16Z,2025-04-01T16:10:31Z,174,2025-04-02,2025-04-02T11:00:00Z,2025-04-02T12:00:00Z,1.3900000000000006,18,mph,E
hourly,2025-04-01T15:11:16Z,2025-04-01T16:10:31Z,174,2025-04-03,2025-04-03T21:00:00Z,2025-04-03T22:00:00Z,4.219999999999999,12,mph,WNW
hourly,2025-04-01T15:11:16Z,2025-04-01T16:10:31Z,174,2025-04-04,2025-04-04T21:00:00Z,2025-04-04T22:00:00Z,5.329999999999998,13,mph,NW
