forecast_type,forecast_effective,forecast_expires,location_id,location_tz,date,start_time,end_time,start_time_local,end_time_local,delta_t,wind_speed,wind_speed_unit,wind_direction
hourly,2025-10-01T08:40:25Z,2025-10-01T08:55:25Z,78,America/Chicago,2025-10-01,2025-10-01T11:00:00Z,2025-10-01T12:00:00Z,6 AM,7 AM,7.4,16,mph,SSE
hourly,2025-10-01T08:40:25Z,2025-10-01T08:55:25Z,78,America/Chicago,2025-10-01,2025-10-01T12:00:00Z,2025-10-01T13:00:00Z,7 AM,8 AM,7.8,18,mph,SSE
hourly,2025-10-01T08:40:25Z,2025-10-01T08:55:25Z,78,America/Chicago,2025-10-01,2025-10-01T13:00:00Z,2025-10-01T14:00:00Z,8 AM,9 AM,6.5,22,mph,SSE
hourly,2025-10-01T08:40:25Z,2025-10-01T08:55:25Z,78,America/Chicago,2025-10-01,2025-10-01T14:00:00Z,2025-10-01T15:00:00Z,9 AM,10 AM,8,23,mph,SSE
hourly,2025-10-01T08:40:25Z,2025-10-01T08:55:25Z,78,America/Chicago,2025-10-01,2025-10-01T15:00:00Z,2025-10-01T16:00:00Z,10 AM,11 AM,9.4,25,mph,S
hourly,2025-10-01T08:40:25Z,2025-10-01T08:55:25Z,78,America/Chicago,2025-10-01,2025-10-01T16:00:00Z,2025-10-01T17:00:00Z,11 AM,12 PM,11.3,26,mph,S
hourly,2025-10-01T08:40:25Z,2025-10-01T08:55:25Z,78,America/Chicago,2025-10-01,2025-10-01T17:00:00Z,2025-10-01T18:00:00Z,12 PM,1 PM,13.5,26,mph,S
hourly,2025-10-01T08:40:25Z,2025-10-01T08:55:25Z,78,America/Chicago,2025-10-01,2025-10-01T18:00:00Z,2025-10-01T19:00:00Z,1 PM,2 PM,14.2,26,mph,S
hourly,2025-10-01T08:40:25Z,2025-10-01T08:55:25Z,78,America/Chicago,2025-10-01,2025-10-01T19:00:00Z,2025-10-01T20:00:00Z,2 PM,3 PM,14.7,28,mph,S
hourly,2025-10-01T08:40:25Z,2025-10-01T08:55:25Z,78,America/Chicago,2025-10-01,2025-10-01T20:00:00Z,2025-10-01T21:00:00Z,3 PM,4 PM,15.9,28,mph,S
hourly,2025-10-01T08:40:25Z,2025-10-01T08:55:25Z,78,America/Chicago,2025-10-01,2025-10-01T21:00:00Z,2025-10-01T22:00:00Z,4 PM,5 PM,16.1,26,mph,S
hourly,2025-10-01T08:40:25Z,2025-10-01T08:55:25Z,78,America/Chicago,2025-10-01,2025-10-01T22:00:00Z,2025-10-01T23:00:00Z,5 PM,6 PM,16.1,25,mph,S
hourly,2025-10-01T08:40:25Z,2025-10-01T08:55:25Z,78,America/Chicago,2025-10-02,2025-10-02T11:00:00Z,2025-10-02T12:00:00Z,6 AM,7 AM,4.4,7,mph,S
hourly,2025-10-01T08:40:25Z,2025-10-01T08:55:25Z,78,America/Chicago,2025-10-02,2025-10-02T12:00:00Z,2025-10-02T13:00:00Z,7 AM,8 AM,3.9,6,mph,S
hourly,2025-10-01T08:40:25Z,2025-10-01T08:55:25Z,78,America/Chicago,2025-10-02,2025-10-02T13:00:00Z,2025-10-02T14:00:00Z,8 AM,9 AM,4,6,mph,S
hourly,2025-10-01T08:40:25Z,2025-10-01T08:55:25Z,78,America/Chicago,2025-10-02,2025-10-02T14:00:00Z,2025-10-02T15:00:00Z,9 AM,10 AM,5.8,6,mph,SSW
