forecast_type,forecast_effective,forecast_expires,location_id,location_tz,date,start_time,end_time,start_time_local,end_time_local,delta_t,wind_speed,wind_speed_unit,wind_direction
hourly,2025-09-12T08:36:09Z,2025-09-12T08:51:09Z,78,America/Chicago,2025-09-12,2025-09-12T22:00:00Z,2025-09-12T23:00:00Z,5 PM,6 PM,9,9,mph,ESE
hourly,2025-09-12T08:36:09Z,2025-09-12T08:51:09Z,78,America/Chicago,2025-09-13,2025-09-13T21:00:00Z,2025-09-13T22:00:00Z,4 PM,5 PM,10.3,14,mph,E
hourly,2025-09-12T08:36:09Z,2025-09-12T08:51:09Z,78,America/Chicago,2025-09-14,2025-09-14T21:00:00Z,2025-09-14T22:00:00Z,4 PM,5 PM,13.3,18,mph,SSE
hourly,2025-09-12T08:36:09Z,2025-09-12T08:51:09Z,78,America/Chicago,2025-09-15,2025-09-15T21:00:00Z,2025-09-15T22:00:00Z,4 PM,5 PM,11.5,22,mph,S
hourly,2025-09-12T08:36:09Z,2025-09-12T08:51:09Z,78,America/Chicago,2025-09-16,2025-09-16T20:00:00Z,2025-09-16T21:00:00Z,3 PM,4 PM,13.8,14,mph,S
hourly,2025-09-12T08:36:09Z,2025-09-12T08:51:09Z,78,America/Chicago,2025-09-17,2025-09-17T19:00:00Z,2025-09-17T20:00:00Z,2 PM,3 PM,8.1,12,mph,W
hourly,2025-09-12T08:36:11Z,2025-09-12T08:51:11Z,111,America/Chicago,2025-09-12,2025-09-12T21:00:00Z,2025-09-12T22:00:00Z,4 PM,5 PM,3.6,9,mph,ENE
hourly,2025-09-12T08:36:11Z,2025-09-12T08:51:11Z,111,America/Chicago,2025-09-13,2025-09-13T21:00:00Z,2025-09-13T22:00:00Z,4 PM,5 PM,5.5,15,mph,E
hourly,2025-09-12T08:36:11Z,2025-09-12T08:51:11Z,111,America/Chicago,2025-09-14,2025-09-14T21:00:00Z,2025-09-14T22:00:00Z,4 PM,5 PM,7.1,15,mph,SE
hourly,2025-09-12T08:36:11Z,2025-09-12T08:51:11Z,111,America/Chicago,2025-09-15,2025-09-15T21:00:00Z,2025-09-15T22:00:00Z,4 PM,5 PM,8,18,mph,SSW
hourly,2025-09-12T08:36:11Z,2025-09-12T08:51:11Z,111,America/Chicago,2025-09-16,2025-09-16T20:00:00Z,2025-09-16T21:00:00Z,3 PM,4 PM,11.7,13,mph,SW
hourly,2025-09-12T08:36:11Z,2025-09-12T08:51:11Z,111,America/Chicago,2025-09-17,2025-09-17T21:00:00Z,2025-09-17T22:00:00Z,4 PM,5 PM,5.8,12,mph,N
hourly,2025-09-12T08:36:13Z,2025-09-12T08:51:13Z,98,America/Chicago,2025-09-12,2025-09-12T21:00:00Z,2025-09-12T22:00:00Z,4 PM,5 PM,11,10,mph,E
