station_id,station_name,latitude,longitude,elevation,date,delta_t,wind_speed,wind_gust,wind_speed_unit,wind_direction
78,Ada,47.32119,-96.51406,910,2025-05-01,2.8,4.599,8.572,mph,337.5
78,Ada,47.32119,-96.51406,910,2025-05-02,9,6.729,11.802,mph,332.3
78,Ada,47.32119,-96.51406,910,2025-05-03,20,10.259,17.267,mph,238.3
78,Ada,47.32119,-96.51406,910,2025-05-04,24.3,11.283,20.625,mph,182.6
78,Ada,47.32119,-96.51406,910,2025-05-05,24.6,15.204,27.089,mph,178.6
78,Ada,47.32119,-96.51406,910,2025-05-06,18,17.265,26.575,mph,27.17
78,Ada,47.32119,-96.51406,910,2025-05-07,19.3,7.675,16.77,mph,81.5
78,Ada,47.32119,-96.51406,910,2025-05-08,22.1,12.008,18.768,mph,163.9
78,Ada,47.32119,-96.51406,910,2025-05-09,21.6,19.707,30.445,mph,355.3
78,Ada,47.32119,-96.51406,910,2025-05-10,23.4,19.103,30.803,mph,170.9
78,Ada,47.32119,-96.51406,910,2025-05-11,32.3,21.475,34.046,mph,213.9
78,Ada,47.32119,-96.51406,910,2025-05-12,31.1,20.289,37.402,mph,185.2
78,Ada,47.32119,-96.51406,910,2025-05-13,31,19.014,33.912,mph,189.8
78,Ada,47.32119,-96.51406,910,2025-05-14,24.6,12.426,23.219,mph,166.1
78,Ada,47.32119,-96.51406,910,2025-05-15,15.4,26.552,41.741,mph,118.8
78,Ada,47.32119,-96.51406,910,2025-05-16,3.5,14.84,26.843,mph,352.3
78,Ada,47.32119,-96.51406,910,2025-05-17,2.9,11.867,18.253,mph,342
78,Ada,47.32119,-96.51406,910,2025-05-18,7.7,12.657,20.736,mph,59.54
78,Ada,47.32119,-96.51406,910,2025-05-19,9.2,18.522,27.581,mph,105.6
78,Ada,47.32119,-96.51406,910,2025-05-20,4.3,8.594,18.007,mph,130.7
78,Ada,47.32119,-96.51406,910,2025-05-21,5.6,3.414,8.324,mph,47.8
78,Ada,47.32119,-96.51406,910,2025-05-22,16.4,9.341,17.019,mph,358.5
78,Ada,47.32119,-96.51406,910,2025-05-23,14.7,10.386,18.142,mph,65.21
78,Ada,47.32119,-96.51406,910,2025-05-24,18.3,4.062,11.429,mph,8.05
78,Ada,47.32119,-96.51406,910,2025-05-25,20.4,6.246,13.54,mph,288
78,Ada,47.32119,-96.51406,910,2025-05-26,19.5,6.536,14.285,mph,183.9
111,Adams,48.49988,-98.07588,1580,2025-05-01,13.1,13.003,22.101,mph,5.645
111,Adams,48.49988,-98.07588,1580,2025-05-02,14.2,7.022,15.404,mph,293.8
111,Adams,48.49988,-98.07588,1580,2025-05-03,23,11.961,18.88,mph,252.9
111,Adams,48.49988,-98.07588,1580,2025-05-04,23,21.788,35.276,mph,183.2
111,Adams,48.49988,-98.07588,1580,2025-05-05,24.1,15.325,24.718,mph,200.4
111,Adams,48.49988,-98.07588,1580,2025-05-06,15,15.001,25.591,mph,17.9
111,Adams,48.49988,-98.07588,1580,2025-05-07,16.7,6.378,13.914,mph,162.4
111,Adams,48.49988,-98.07588,1580,2025-05-08,19.7,19.26,28.812,mph,185.9
111,Adams,48.49988,-98.07588,1580,2025-05-09,17.4,12.397,23.219,mph,21.55
111,Adams,48.49988,-98.07588,1580,2025-05-10,22.5,23.488,33.532,mph,186
111,Adams,48.49988,-98.07588,1580,2025-05-11,32.5,23.823,37.894,mph,210.5
111,Adams,48.49988,-98.07588,1580,2025-05-12,28,16.05,24.852,mph,200.8
111,Adams,48.49988,-98.07588,1580,2025-05-13,28.2,22.481,34.046,mph,195.8
111,Adams,48.49988,-98.07588,1580,2025-05-14,15.2,11.292,19.618,mph,39.36
111,Adams,48.49988,-98.07588,1580,2025-05-15,5.1,10.227,17.515,mph,34.18
111,Adams,48.49988,-98.07588,1580,2025-05-16,0.8,22.392,36.887,mph,349.4
111,Adams,48.49988,-98.07588,1580,2025-05-17,2.5,11.384,18.499,mph,6.92
111,Adams,48.49988,-98.07588,1580,2025-05-18,3.7,11.133,19.506,mph,86.1
111,Adams,48.49988,-98.07588,1580,2025-05-19,8.7,12.35,22.481,mph,99
111,Adams,48.49988,-98.07588,1580,2025-05-20,2.3,9.044,14.782,mph,8.11
111,Adams,48.49988,-98.07588,1580,2025-05-21,5,4.861,8.198,mph,72.84
111,Adams,48.49988,-98.07588,1580,2025-05-22,16.1,6.666,12.422,mph,24.3
111,Adams,48.49988,-98.07588,1580,2025-05-23,13.6,6.782,14.659,mph,81.6
111,Adams,48.49988,-98.07588,1580,2025-05-24,17.3,3.852,10.187,mph,326.2
111,Adams,48.49988,-98.07588,1580,2025-05-25,19.2,7.887,16.148,mph,286.2
111,Adams,48.49988,-98.07588,1580,2025-05-26,20.4,3.915,9.565,mph,220
98,Alamo,48.54652,-103.47186,2157,2025-05-01,9.5,16.457,26.709,mph,357.3
98,Alamo,48.54652,-103.47186,2157,2025-05-02,18.5,9.471,17.889,mph,227.8
98,Alamo,48.54652,-103.47186,2157,2025-05-03,26,9.78,18.007,mph,181.5
98,Alamo,48.54652,-103.47186,2157,2025-05-04,29.2,9.552,20.736,mph,222.5
